name,club,age,position,position_cat,page_views,fpl_value,fpl_sel,fpl_points,region,nationality,new_foreign,age_cat,club_id,big_club,new_signing,market_value
Kevin Wimmer,Tottenham,24,CB,3,355,4.5,0.30%,2,2.0,Austria,0,2,17,1,0,7.0
Fernando Llorente,Swansea,32,CF,1,1423,7.5,0.70%,146,2.0,Spain,0,5,16,0,1,6.0
Patrick van Aanholt,Crystal+Palace,26,LB,3,524,5.5,4.20%,98,2.0,Netherlands,0,3,6,0,0,9.0
Wayne Rooney,Everton,31,SS,1,7664,7.5,20.90%,76,1.0,England,0,4,7,0,0,15.0
Joe Gomez,Liverpool,20,CB,3,460,4.5,0.40%,0,1.0,England,0,1,10,1,0,4.0
Callum Wilson,Bournemouth,25,CF,1,337,6.0,0.20%,63,1.0,England,0,3,2,0,0,10.0
Joel Coleman,Huddersfield,21,GK,4,36,4.0,2.40%,0,1.0,England,0,1,8,0,0,0.25
Joel Matip,Liverpool,25,CB,3,1313,5.5,2.30%,97,2.0,Cameroon,0,3,10,1,1,25.0
Craig Cathcart,Watford,28,CB,3,128,4.5,0.00%,31,2.0,Northern Ireland,0,4,18,0,0,4.0
Mohamed Elneny,Arsenal,25,DM,2,683,4.5,0.80%,26,4.0,Egypt,0,3,1,1,0,10.0
Willy Caballero,Chelsea,35,GK,4,542,5.0,0.20%,64,3.0,Argentina,0,6,5,1,0,1.5
Rolando Aarons,Newcastle+United,21,LW,1,170,4.5,0.10%,0,1.0,England,0,1,13,0,0,0.75
Joshua King,Bournemouth,25,SS,1,997,7.5,10.40%,178,2.0,Norway,0,3,2,0,0,8.0
Ramiro Funes Mori,Everton,26,CB,3,460,5.0,0.10%,69,3.0,Argentina,0,3,7,0,0,12.0
Ashley Barnes,Burnley,27,CF,1,287,5.5,1.20%,81,1.0,England,0,3,4,0,0,2.5
Liam Rosenior,Brighton+and+Hove,33,RB,3,132,4.0,3.20%,0,1.0,England,0,5,3,0,0,1.0
Gary Cahill,Chelsea,31,CB,3,1420,6.5,12.00%,178,1.0,England,0,4,5,1,0,16.0
Christian Atsu,Newcastle+United,25,RW,1,641,5.0,2.10%,0,4.0,Ghana,0,3,13,0,0,5.0
Jack Colback,Newcastle+United,27,DM,2,181,4.5,1.10%,0,1.0,England,0,3,13,0,0,5.0
Marc Muniesa,Stoke+City,25,CB,3,172,4.5,0.20%,34,2.0,Spain,0,3,15,0,0,3.0
Daryl Murphy,Newcastle+United,34,CF,1,541,4.5,2.80%,0,2.0,Ireland,0,6,13,0,0,1.5
Kevin Long,Burnley,26,CB,3,68,4.0,1.70%,3,2.0,Ireland,0,3,4,0,0,0.5
DuÅ¡an TadiÄ‡,Southampton,28,LW,1,458,6.5,4.90%,108,2.0,Portugal,0,4,14,0,0,17.0
Lascelles,Newcastle+United,27,CB,3,400,4.5,3.60%,0,1.0,England,0,3,13,0,0,5.0
Manolo Gabbiadini,Southampton,25,CF,1,2012,7.0,5.20%,38,2.0,Italy,0,3,14,0,0,15.0
Fabian Delph,Manchester+City,27,CM,2,520,4.5,0.40%,13,1.0,England,0,3,11,1,0,8.0
David Luiz,Chelsea,30,CB,3,2745,6.0,20.30%,132,3.0,Brazil,0,4,5,1,0,30.0
Jonjo Shelvey,Newcastle+United,25,CM,2,747,5.5,2.50%,0,1.0,England,0,3,13,0,0,11.0
Julian Speroni,Crystal+Palace,38,GK,4,188,4.0,2.00%,0,3.0,Argentina,0,6,6,0,0,0.25
Nordin Amrabat,Watford,30,LW,1,295,5.0,0.10%,65,4.0,Morocco,0,4,18,0,0,4.5
Jesus Gamez,Newcastle+United,32,RB,3,186,4.0,2.30%,0,2.0,Spain,0,5,13,0,0,2.5
Daryl Janmaat,Watford,27,RB,3,242,5.0,0.30%,50,2.0,Netherlands,0,3,18,0,1,7.0
Nacer Chadli,West+Brom,27,LW,1,570,6.0,2.40%,110,2.0,Belgium,0,3,19,0,1,15.0
Mike van der Hoorn,Swansea,24,CB,3,154,4.5,0.10%,16,2.0,Netherlands,0,2,16,0,1,2.0
Abdoulaye Doucoure,Watford,24,CM,2,124,5.0,0.00%,38,2.0,France,0,2,18,0,0,6.0
Eric Bailly,Manchester+United,23,CB,3,1588,6.0,10.20%,105,4.0,Cote d'Ivoire,0,2,12,1,1,30.0
Adam Lallana,Liverpool,29,AM,1,1808,7.5,6.40%,139,1.0,England,0,4,10,1,0,25.0
